,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
0,0,0.860114711875535,0.995164155960083,2021-06-15 15:58:52.260107,2021-06-15 15:59:10.855633,0 days 00:00:18.595526,6.007253398673621,0.00041932635675516244,9.516660412075908,0.33486094826953217,1.5598221131984136,7,9.774928425188534,415,0.37398752263727114,COMPLETE,MOTPE
1,1,0.8224589770283762,0.8090870380401611,2021-06-15 15:59:10.856382,2021-06-15 15:59:53.368074,0 days 00:00:42.511692,0.5082554304583331,0.0017906949942475183,1.4575881690520198,2.110630907659182e-05,3.601923601828453,10,4.771747354087008,235,0.950935571190973,COMPLETE,MOTPE
2,2,0.8182806468900707,0.9671270847320557,2021-06-15 15:59:53.368894,2021-06-15 16:00:56.257878,0 days 00:01:02.888984,1.9446612889475967,0.3671210889403426,4.678344691240529,7.782937949410307e-05,3.0323997755764176,6,5.213065251449138,381,0.8207143086336544,COMPLETE,MOTPE
3,3,0.8454516777583032,0.8417479991912842,2021-06-15 16:00:56.258700,2021-06-15 16:01:34.031686,0 days 00:00:37.772986,7.721346185828746,0.7089799440492404,0.8400939364455218,0.03903134937026763,8.61807264795323,19,6.870667546183409,249,0.7964444291673143,COMPLETE,MOTPE
4,4,0.7803260076658438,0.7491137981414795,2021-06-15 16:01:34.032526,2021-06-15 16:01:56.590642,0 days 00:00:22.558116,9.195386245596437,0.0262425636153739,5.362181699537313,1.029079939617612e-05,1.5265464144983432,13,6.945530311099477,281,0.37905440912344074,COMPLETE,MOTPE
5,5,0.7907219480285735,0.927983283996582,2021-06-15 16:01:56.591465,2021-06-15 16:02:45.858868,0 days 00:00:49.267403,1.2654177274498668,0.014505147196883538,0.7069256596887974,0.0005700790076121386,9.010277596247203,13,9.823338678670451,361,0.662628345076266,COMPLETE,MOTPE
6,6,0.8160890451386748,0.8566031455993652,2021-06-15 16:02:45.859714,2021-06-15 16:03:18.221986,0 days 00:00:32.362272,2.732587499686212,1.842494667779209e-06,7.902308877481891,0.007391302261237073,1.981266656725752,6,1.706993728396398,305,0.38844353338426735,COMPLETE,MOTPE
7,7,0.831473090628317,0.75164794921875,2021-06-15 16:03:18.222864,2021-06-15 16:03:33.613003,0 days 00:00:15.390139,3.8526036497327087,0.37671486713409547,0.9264302675079228,0.04123682600301355,7.347031700098552,9,2.721111049114073,226,0.20837277363568268,COMPLETE,MOTPE
8,8,0.7885106587574899,0.5617039203643799,2021-06-15 16:03:33.614062,2021-06-15 16:03:39.107058,0 days 00:00:05.492996,9.71996025905614,7.300026712597437e-05,5.613550146169837,0.023560884521167065,2.243191112953411,14,6.009085790049902,68,0.3067748063615783,COMPLETE,MOTPE
9,9,0.8093453382847373,0.8897960186004639,2021-06-15 16:03:39.107925,2021-06-15 16:04:21.920622,0 days 00:00:42.812697,0.975472423626097,2.729953823108541,5.53061580475968,0.005776950212425913,8.21165145581724,10,8.766568422555103,426,0.5037017713198373,COMPLETE,MOTPE
10,10,0.8224589770283762,0.47096920013427734,2021-06-15 16:04:21.921482,2021-06-15 16:04:23.455017,0 days 00:00:01.533535,9.050482772899807,1.3139606492370766e-05,3.432174669058028,0.7819104127779484,5.605054330098227,20,3.322501330921267,11,0.22704424361337244,COMPLETE,MOTPE
11,11,0.826360436166287,0.47167110443115234,2021-06-15 16:04:23.455840,2021-06-15 16:04:24.944403,0 days 00:00:01.488563,6.468641860275607,3.20802276067226e-06,3.089617857220283,0.6096491648209079,5.812464640506845,20,3.3693023924582133,11,0.21957757314806559,COMPLETE,MOTPE
12,12,0.7701974367470664,0.6042649745941162,2021-06-15 16:04:24.945216,2021-06-15 16:04:34.641730,0 days 00:00:09.696514,6.399318075303234,3.4507460921787233e-06,2.75925947564339,1.288050713914947e-06,5.618220339703629,2,1.536623799123185,126,0.5910327535186066,COMPLETE,MOTPE
13,13,0.8226636642219708,0.630511999130249,2021-06-15 16:04:34.642582,2021-06-15 16:04:50.034478,0 days 00:00:15.391896,4.760102465401614,4.2094224411453735e-05,7.70358433412828,0.43944078694962985,0.04806143971985222,18,3.7230894049708994,148,0.5048850978445018,COMPLETE,MOTPE
14,14,0.8382329973882237,0.5214002132415771,2021-06-15 16:04:50.035341,2021-06-15 16:04:55.661505,0 days 00:00:05.626164,7.432388905713086,1.4619050875460123e-06,2.3522315501438373,0.0005542368372034324,9.975685503194999,16,1.1224515257489447,22,0.9733754216701259,COMPLETE,MOTPE
15,15,0.8249149721298998,0.7330901622772217,2021-06-15 16:04:55.662335,2021-06-15 16:05:29.608192,0 days 00:00:33.945857,8.07380988191149,0.00034448504927466107,2.423663511052223,1.0538082956000516e-06,9.854164001590425,16,1.179934752117676,150,0.9586778396154599,COMPLETE,MOTPE
16,16,0.782542241148808,1.1317591667175293,2021-06-15 16:05:29.609012,2021-06-15 16:06:47.407716,0 days 00:01:17.798704,7.841971418291861,1.0703740701679994e-06,4.1413663040570805,0.00043490807817149154,7.31606212529819,16,7.711449765820442,486,0.8333702432435001,COMPLETE,MOTPE
17,17,0.7384869758993279,0.5288429260253906,2021-06-15 16:06:47.408580,2021-06-15 16:06:51.525855,0 days 00:00:04.117275,4.879524440429934,0.03452232191746172,0.02897061672726231,0.00015720132667596556,9.823663725590922,1,2.1968703052616476,74,0.7065983992399336,COMPLETE,MOTPE
18,18,0.8189984636355387,0.5684428215026855,2021-06-15 16:06:51.526761,2021-06-15 16:07:03.711041,0 days 00:00:12.184280,9.970781814841251,0.00321485258866565,6.716260335437179,5.319391517544394e-06,6.981443282563435,17,4.193458325759796,63,0.9788521886326012,COMPLETE,MOTPE
19,19,0.8251496769105,0.7506401538848877,2021-06-15 16:07:03.711903,2021-06-15 16:07:38.279772,0 days 00:00:34.567869,3.667831977298294,1.5821976243944055e-05,1.8474139820684283,0.0026126702060546014,3.932541667266724,14,6.150995157104484,192,0.8922644514659671,COMPLETE,MOTPE
20,20,0.7729013355472184,0.4604008197784424,2021-06-15 16:07:38.280615,2021-06-15 16:07:39.298426,0 days 00:00:01.017811,6.393609209998039,5.998568902720105e-06,3.4873099385005917,0.21922959752006116,4.508610353779371,20,2.794880832540683,2,0.2935468629855523,COMPLETE,MOTPE
21,21,0.7505800564233434,0.4923253059387207,2021-06-15 16:07:39.299277,2021-06-15 16:07:41.970990,0 days 00:00:02.671713,7.116784634317255,9.310550291050166,3.022481330944556,0.14764597953242894,0.2582586622214009,20,4.596960801222715,19,0.5034583215055038,COMPLETE,MOTPE
22,22,0.8454516777583032,0.6690728664398193,2021-06-15 16:07:41.971900,2021-06-15 16:07:59.516921,0 days 00:00:17.545021,5.627536456342641,0.00028332569634259704,4.164340555905774,0.09868634228095745,6.267576927704965,18,3.537086007107516,105,0.7241186025699612,COMPLETE,MOTPE
23,23,0.8744355224991439,0.6048197746276855,2021-06-15 16:07:59.517767,2021-06-15 16:08:07.593168,0 days 00:00:08.075401,7.213129778317807,8.591566212502742e-05,2.044808054110681,0.8857749436530427,5.098561949801884,16,1.0655958850217226,40,0.6058413991899965,COMPLETE,MOTPE
24,24,0.8391227117449156,0.5338430404663086,2021-06-15 16:08:07.594283,2021-06-15 16:08:12.089115,0 days 00:00:04.494832,4.15301346376581,6.652319395942627e-05,0.11703667820198405,0.9745156248116863,4.9230997496469655,3,2.58900649115593,37,0.586149084835174,COMPLETE,MOTPE
25,25,0.8013924923471101,0.6688070297241211,2021-06-15 16:08:12.089961,2021-06-15 16:08:30.221408,0 days 00:00:18.131447,8.50765324845784,1.1107322845053841e-05,9.909132166076144,0.002107030565336062,6.1049950863317,12,2.067837047340007,171,0.4328973101479564,COMPLETE,MOTPE
26,26,0.7773126795009871,0.5562150478363037,2021-06-15 16:08:30.222276,2021-06-15 16:08:35.718729,0 days 00:00:05.496453,5.560577374486941,4.5130878753463764e-05,6.4553863293348765,0.010963347715967242,2.994702627181861,18,3.962511617301656,86,0.20162880996492355,COMPLETE,MOTPE
27,27,0.8743263992386214,0.617318868637085,2021-06-15 16:08:35.719991,2021-06-15 16:08:42.298087,0 days 00:00:06.578096,6.897927471611268,0.0012308327027356397,1.8936913570577927,0.9905110818266532,0.696391329406973,20,5.448267363786224,113,0.2929388469474035,COMPLETE,MOTPE
28,28,0.8132592815862645,0.5495400428771973,2021-06-15 16:08:42.298958,2021-06-15 16:08:49.557792,0 days 00:00:07.258834,8.624585723410089,0.00016352300894850603,4.026963109101704,0.06172369928735383,4.05865021109034,15,1.0146065090755298,52,0.4385321219927637,COMPLETE,MOTPE
29,29,0.8306465981865262,0.7082698345184326,2021-06-15 16:08:49.558643,2021-06-15 16:09:16.136897,0 days 00:00:26.578254,5.391883997618639,3.194688576727893e-06,4.878518566863563,0.01721951794643818,5.329684043531589,19,3.160808429649693,191,0.6370347956344742,COMPLETE,MOTPE
30,30,0.8382990517737943,0.46620869636535645,2021-06-15 16:09:16.137755,2021-06-15 16:09:17.174157,0 days 00:00:01.036402,6.915317017971034,2.18091134892873e-05,2.2690912124305163,0.00012154635836573457,6.507375089653664,17,1.0349769464015786,1,0.7391351462557141,COMPLETE,MOTPE
31,31,0.827380434667687,0.4645979404449463,2021-06-15 16:09:17.174979,2021-06-15 16:09:18.180751,0 days 00:00:01.005772,6.850658338974602,9.187969559687395e-06,1.3274263084546858,5.132410617187651e-05,4.537180676374788,17,1.6995043175775106,1,0.7583077969113581,COMPLETE,MOTPE
32,32,0.815391175250599,1.289475917816162,2021-06-15 16:09:18.181598,2021-06-15 16:11:01.130741,0 days 00:01:42.949143,6.437694717659165,2.5111068982931195e-05,3.3773854386335547,2.9385431495726113e-06,6.576392107908629,12,1.0055890191155503,474,0.894104348383929,COMPLETE,MOTPE
33,33,0.8154368154679541,0.541672945022583,2021-06-15 16:11:01.131580,2021-06-15 16:11:06.910478,0 days 00:00:05.778898,3.0304519092376108,0.00010927615127775873,2.24928816606689,2.5271465352685066e-05,8.020527959458375,15,2.599540808878296,37,0.5662487068180423,COMPLETE,MOTPE
34,34,0.8036033627073764,0.6198031902313232,2021-06-15 16:11:06.911337,2021-06-15 16:11:23.605613,0 days 00:00:16.694276,4.550682705823704,0.0007469671475785823,3.7339327309449475,0.0002449642844566325,4.686195734079798,17,1.9836224373102924,96,0.6709624699821644,COMPLETE,MOTPE
35,35,0.7965080431501681,0.5471110343933105,2021-06-15 16:11:23.606459,2021-06-15 16:11:30.805729,0 days 00:00:07.199270,8.263641996887602,0.0081733686414914,1.7754857802154567,0.0013749462270784387,9.201644735512977,15,1.4286052193732646,48,0.537704875131261,COMPLETE,MOTPE
36,36,0.8143171620287079,0.6442759037017822,2021-06-15 16:11:30.806608,2021-06-15 16:11:53.898230,0 days 00:00:23.091622,9.199850127878193,7.099363233856201e-06,0.2409332232819783,0.00010576716924496352,7.8260235008809715,12,2.356451108910176,125,0.8767898468240525,COMPLETE,MOTPE
37,37,0.82684346142638,0.4529600143432617,2021-06-15 16:11:53.899123,2021-06-15 16:11:55.051387,0 days 00:00:01.152264,7.201991450582676,0.07596750342915476,2.665869307573862,0.18305233088306075,6.879535231477187,19,2.9339077529009776,2,0.6401745105972001,COMPLETE,MOTPE
38,38,0.8743263992386214,0.882838249206543,2021-06-15 16:11:55.052470,2021-06-15 16:12:28.338700,0 days 00:00:33.286230,7.571035850376381,0.003470216265128891,2.636173964634143,0.2647685427425012,6.6950935403001335,19,3.0204610884115306,298,0.7533971683708569,COMPLETE,MOTPE
39,39,0.8224589770283762,0.9297471046447754,2021-06-15 16:12:28.339556,2021-06-15 16:13:17.521338,0 days 00:00:49.181782,7.108446311258126,0.09350616162080798,1.1967101388410182,0.004696283087297441,5.108016972115599,8,1.9207312302523418,331,0.6361436047884838,COMPLETE,MOTPE
40,40,0.837606732952923,0.5510640144348145,2021-06-15 16:13:17.522280,2021-06-15 16:13:22.767193,0 days 00:00:05.244913,4.091231560582348,0.10456611778594326,0.4401758689513704,0.9810742810008084,5.026494393121953,4,1.3385591498225704,34,0.6001927204490843,COMPLETE,MOTPE
41,41,0.845793901251926,0.5597021579742432,2021-06-15 16:13:22.768074,2021-06-15 16:13:32.589530,0 days 00:00:09.821456,5.99998005325397,0.0001165954287505327,1.9159808418446154,0.10460732853917405,3.4919071488096516,18,1.0633805906346496,43,0.6920849560206008,COMPLETE,MOTPE
42,42,0.8743263992386214,0.6636991500854492,2021-06-15 16:13:32.590374,2021-06-15 16:13:50.627306,0 days 00:00:18.036932,5.825266095737335,0.00019630970176850134,1.9805639283786893,0.1104329487460839,7.4417828620932855,18,1.0160594667543907,72,0.6973340921284337,COMPLETE,MOTPE
43,43,0.7974754044427059,0.45714378356933594,2021-06-15 16:13:50.628149,2021-06-15 16:13:51.631106,0 days 00:00:01.002957,5.2122007984538925,0.0007454143435074407,1.4446663660026244,0.07234514467229793,6.0901067090089125,17,4.467416408503999,1,0.636010306810141,COMPLETE,MOTPE
44,44,0.8533304513599311,0.6441071033477783,2021-06-15 16:13:51.631919,2021-06-15 16:14:04.126153,0 days 00:00:12.494234,8.686468866720011,2.5704888502989793e-05,2.8478111288035164,0.2242108199606276,3.3798664649721104,14,2.424507639478656,89,0.5385246023252355,COMPLETE,MOTPE
45,45,0.860114711875535,0.6274740695953369,2021-06-15 16:14:04.127022,2021-06-15 16:14:15.658505,0 days 00:00:11.531483,7.453328231867191,0.006686845280015784,4.590986356826336,0.4568286312119418,6.771699427744109,19,1.6131649500896046,55,0.748808568489743,COMPLETE,MOTPE
46,46,0.8013924923471101,0.51202392578125,2021-06-15 16:14:15.659391,2021-06-15 16:14:19.762018,0 days 00:00:04.102627,5.95365759378865,9.736433198903479e-05,2.0545427982178466,0.027361910303768906,6.287847925260726,16,2.00298811709198,29,0.44431587378701953,COMPLETE,MOTPE
47,47,0.8075675663677464,0.4663510322570801,2021-06-15 16:14:19.762886,2021-06-15 16:14:20.936575,0 days 00:00:01.173689,7.972212261993557,2.9660330295680936e-05,1.084436968205068,0.21562432991974462,4.284477352068086,13,3.0056306855773673,2,0.6633210031482458,COMPLETE,MOTPE
48,48,0.8243126853165124,0.588454008102417,2021-06-15 16:14:20.937428,2021-06-15 16:14:45.875342,0 days 00:00:24.937914,9.611212689252522,9.844870454994531,1.5999673267871237,0.12351804721583384,5.459382647352995,11,3.8624007354879986,143,0.7867066031650689,COMPLETE,MOTPE
